filename,x_pixel,y_pixel
img_0000.jpg,38.287,68.664
img_0001.jpg,144.432,132.446
img_0002.jpg,108.337,115.608
img_0003.jpg,133.4,63.053
img_0004.jpg,68.604,122.267
img_0005.jpg,84.88,49.48
img_0006.jpg,38.721,151.448
img_0007.jpg,147.5,92.136
img_0008.jpg,9.302,67.417
img_0009.jpg,16.7,77.128
img_0010.jpg,42.611,146.732
img_0011.jpg,51.19,58.125
img_0012.jpg,199.06,120.979
img_0013.jpg,64.239,129.261
img_0014.jpg,10.302,65.955
img_0015.jpg,21.553,122.255
img_0016.jpg,30.99,152.591
img_0017.jpg,231.64,102.672
img_0018.jpg,109.362,78.308
img_0019.jpg,54.286,68.936
img_0020.jpg,87.805,202.827
img_0021.jpg,149.569,43.944
img_0022.jpg,21.403,144.222
img_0023.jpg,72.299,168.414
img_0024.jpg,10.58,154.849
img_0025.jpg,97.1,64.985
img_0026.jpg,128.659,195.601
img_0027.jpg,12.899,119.126
img_0028.jpg,75.706,182.252
img_0029.jpg,76.289,84.453
img_0030.jpg,78.325,67.156
img_0031.jpg,65.917,45.892
img_0032.jpg,98.193,102.693
img_0033.jpg,113.916,100.155
img_0034.jpg,135.229,101.226
img_0035.jpg,167.772,180.584
img_0036.jpg,55.277,101.223
img_0037.jpg,201.801,119.217
img_0038.jpg,20.486,84.388
img_0039.jpg,25.612,61.51
img_0040.jpg,13.602,65.723
img_0041.jpg,110.979,109.536
img_0042.jpg,140.987,77.186
img_0043.jpg,24.638,75.968
img_0044.jpg,67.893,54.66
img_0045.jpg,69.993,44.9
img_0046.jpg,54.563,128.735
img_0047.jpg,14.777,51.302
img_0048.jpg,204.048,48.321
img_0049.jpg,88.862,98.806
img_0050.jpg,24.773,101.55
img_0051.jpg,42.68,157.84
img_0052.jpg,156.835,194.057
img_0053.jpg,125.595,61.614
img_0054.jpg,196.507,45.464
img_0055.jpg,49.085,172.659
img_0056.jpg,70.698,191.914
img_0057.jpg,79.295,50.492
img_0058.jpg,225.952,71.843
img_0059.jpg,64.897,97.05
img_0060.jpg,110.401,103.48
img_0061.jpg,9.725,137.275
img_0062.jpg,227.548,223.352
img_0063.jpg,168.94,19.993
img_0064.jpg,159.929,192.712
img_0065.jpg,12.434,79.833
img_0066.jpg,102.853,201.753
img_0067.jpg,145.214,195.539
img_0068.jpg,57.695,162.311
img_0069.jpg,170.188,147.641
img_0070.jpg,219.907,114.216
img_0071.jpg,9.044,171.947
img_0072.jpg,119.392,172.798
img_0073.jpg,26.371,87.39
img_0074.jpg,173.625,27.368
img_0075.jpg,10.553,97.569
img_0076.jpg,52.255,186.79
img_0077.jpg,123.026,52.178
img_0078.jpg,67.215,158.338
img_0079.jpg,172.5,128.0
img_0080.jpg,106.616,122.473
img_0081.jpg,85.306,106.951
img_0082.jpg,118.925,151.969
